sample_id,sample_location,country_name,country_code,province_name,subdivision_name,subdivision_type,sampling_date,sampling_layer,gps_long,gps_lat,gps_true,altitude,land_use,crop_type,forest_type,savanna_type
yol_s0_mcmc_20,yol_s0_mcmc,Democratic Republic of Congo,COD,Tshuapa,Djolu,Territoire,2016-03-31,0-20,22.0897777777778,0.652,yes,445,cropland,cassava,NA,NA
yol_s0_mcmc_50,yol_s0_mcmc,Democratic Republic of Congo,COD,Tshuapa,Djolu,Territoire,2016-03-31,20-50,22.0897777777778,0.652,yes,445,cropland,cassava,NA,NA
yol_s0_arar_20,yol_s0_arar,Democratic Republic of Congo,COD,Tshuapa,Djolu,Territoire,2016-03-31,0-20,22.0895277777778,0.652,yes,449,cropland,groundnut,NA,NA
yol_s0_arar_50,yol_s0_arar,Democratic Republic of Congo,COD,Tshuapa,Djolu,Territoire,2016-03-31,20-50,22.0895277777778,0.652,yes,449,cropland,groundnut,NA,NA
yol_s0_mcrz_20,yol_s0_mcrz,Democratic Republic of Congo,COD,Tshuapa,Djolu,Territoire,2016-03-31,0-20,22.0894166666667,0.651944444444444,yes,449,cropland,"cassava, rice",NA,NA
yol_s0_mcrz_50,yol_s0_mcrz,Democratic Republic of Congo,COD,Tshuapa,Djolu,Territoire,2016-03-31,20-50,22.0894166666667,0.651944444444444,yes,449,cropland,"cassava, rice",NA,NA
yol_s0_mcar_20,yol_s0_mcar,Democratic Republic of Congo,COD,Tshuapa,Djolu,Territoire,2016-03-31,0-20,22.0895555555556,0.652,yes,449,cropland,"cassava, groundnut",NA,NA
yol_s0_mcar_50,yol_s0_mcar,Democratic Republic of Congo,COD,Tshuapa,Djolu,Territoire,2016-03-31,20-50,22.0895555555556,0.652,yes,449,cropland,"cassava, groundnut",NA,NA
yol_s0_mcms_20,yol_s0_mcms,Democratic Republic of Congo,COD,Tshuapa,Djolu,Territoire,2016-03-31,0-20,22.0894722222222,0.651777777777778,yes,445,cropland,"cassava, maize",NA,NA
yol_s0_mcms_50,yol_s0_mcms,Democratic Republic of Congo,COD,Tshuapa,Djolu,Territoire,2016-03-31,20-50,22.0894722222222,0.651777777777778,yes,445,cropland,"cassava, maize",NA,NA
yol_s0_rzrz_20,yol_s0_rzrz,Democratic Republic of Congo,COD,Tshuapa,Djolu,Territoire,2016-03-31,0-20,22.0894722222222,0.651972222222222,yes,452,cropland,rice,NA,NA
yol_s0_rzrz_50,yol_s0_rzrz,Democratic Republic of Congo,COD,Tshuapa,Djolu,Territoire,2016-03-31,20-50,22.0894722222222,0.651972222222222,yes,452,cropland,rice,NA,NA
yol_s0_msms_20,yol_s0_msms,Democratic Republic of Congo,COD,Tshuapa,Djolu,Territoire,2016-03-31,0-20,22.0895277777778,0.651777777777778,yes,447,cropland,maize,NA,NA
